pedido_id,supplier_id,ingredient_id,nome_ingrediente,qtd_pedida,valor_pedido,data_pedido,data_entrega_prevista,status,order_type,date,categoria,unidade,saldo_atual,stock_position,criticidade_score,baseline_threshold,baseline_qtd_comprar,y_threshold,y_qtd_comprar,y_nivel_criticidade,consumo_ingrediente_dia,media_movel_consumo_7d,media_movel_consumo_14d,media_movel_consumo_28d,pedidos_em_aberto,qtd_em_transito,dias_para_proxima_entrega,lead_time_previsto,menor_preco_disponivel,preco_medio_disponivel,menor_lead_time,qtd_fornecedores_disponiveis,is_holiday,is_friday,flag_indisponibilidade,split_temporal
PED000000000001,FOR0001,ING0001,AÇÚCAR CRISTAL,2.5,14.76,2023-01-02,2023-01-05,entregue,emergencial,2023-01-02,Açúcares e Mel,KG,0.25,0.25,2.130020417179431,0.11736976696732772,0.5,0.2993697669673277,1.0,Critico,0.032375,0.035250000000000004,0.035250000000000004,0.035250000000000004,0,0.0,9999,3,6.31,6.72,3,3,0,0,0,train
PED000000000002,FOR0022,ING0005,AÇÚCAR IMPALPÁVEL,2.0,28.99,2023-01-02,2023-01-05,entregue,emergencial,2023-01-02,Açúcares e Mel,KG,0.25,0.25,71.00600378951901,0.0035208290377961218,0.0,0.018020829037796122,0.0,OK,0.001,0.0005,0.0005,0.0005,0,0.0,9999,3,15.7,16.18,3,3,0,0,0,train
PED000000000003,FOR0022,ING0009,XAROPE DE DEMERARA,4.5,131.77,2023-01-02,2023-01-05,entregue,emergencial,2023-01-02,Açúcares e Mel,KG,0.25,0.25,0.3790720786099258,0.6595051814862258,2.0,1.255130181486226,4.0,Emergencial,0.21250000000000002,0.215625,0.215625,0.215625,0,0.0,9999,3,25.91,28.30333333333333,3,3,0,0,0,train
PED000000000004,FOR0011,ING0011,CHÁ VERDE,1.5,182.01,2023-01-02,2023-01-05,entregue,emergencial,2023-01-02,Bebidas e Bases,KG,0.25,0.25,198.8168106106532,0.0012574389420700438,0.0,0.013578867513498617,0.0,OK,0.0003571428571428572,0.0001785714285714286,0.0001785714285714286,0.0001785714285714286,0,0.0,9999,3,109.98,116.76666666666667,3,3,0,0,0,train
PED000000000005,FOR0011,ING0016,ESSÊNCIA DE BAUNILHA,1.5,146.51,2023-01-02,2023-01-05,entregue,emergencial,2023-01-02,Bebidas e Bases,L,0.25,0.25,999.0,0.0,0.0,0.0,0.0,OK,0.0,0.0,0.0,0.0,0,0.0,9999,3,91.26,97.16666666666667,3,3,0,0,0,train
PED000000000006,FOR0011,ING0017,EXTRATO DE BAUNILHA,3.5,406.36,2023-01-02,2023-01-05,entregue,emergencial,2023-01-02,Bebidas e Bases,L,0.25,0.25,999.0,0.0,0.0,0.0,0.0,OK,0.0,0.0,0.0,0.0,0,0.0,9999,3,106.47,113.36,3,3,0,0,0,train
PED000000000007,FOR0002,ING0031,CHOCOLATE MEIO AMARGO,2.0,166.42,2023-01-02,2023-01-07,entregue,emergencial,2023-01-02,Chocolates e Cacau,KG,0.75,0.75,1.5096632270494321,0.49679954215076216,0.5,0.7371773199285399,2.5,Atencao,0.060955555555555554,0.09014444444444444,0.09014444444444444,0.09014444444444444,0,0.0,9999,4,76.46,84.61333333333333,4,3,0,0,0,train
PED000000000008,FOR0023,ING0039,MAÇÃ VERMELHA,2.0,94.97,2023-01-02,2023-01-03,entregue,emergencial,2023-01-02,Frutas Frescas,KG,0.25,0.25,8.445833854002762,0.029600392847121505,0.0,0.0547003928471215,0.0,OK,0.0252,0.0219,0.0219,0.0219,0,0.0,9999,1,37.66,39.056666666666665,1,3,0,0,0,train
PED000000000009,FOR0003,ING0050,CRANBERRY SECO,1.0,81.87,2023-01-02,2023-01-05,entregue,emergencial,2023-01-02,Frutas Secas e Congeladas,KG,0.25,0.25,40.551500405515014,0.006164999999999999,0.0,0.0034649999999999993,0.0,OK,0.0003,0.0013499999999999999,0.0013499999999999999,0.0013499999999999999,0,0.0,9999,2,64.27,70.16666666666667,2,3,0,0,0,train
PED000000000010,FOR0003,ING0051,DAMASCO SECO,1.95,132.41,2023-01-02,2023-01-04,entregue,emergencial,2023-01-02,Frutas Secas e Congeladas,KG,0.25,0.25,60.82725060827249,0.004110000000000001,0.0,0.0023100000000000004,0.0,OK,0.0002,0.0009000000000000001,0.0009000000000000001,0.0009000000000000001,0,0.0,9999,2,67.34,73.96,2,3,0,0,0,train
PED000000000011,FOR0018,ING0053,HIBISCO SECO,2.0,189.19,2023-01-02,2023-01-05,entregue,emergencial,2023-01-02,Frutas Secas e Congeladas,KG,0.25,0.25,129.71698113207546,0.0019272727272727276,0.0,0.0015636363636363638,0.0,OK,0.0,0.00036363636363636367,0.00036363636363636367,0.00036363636363636367,0,0.0,9999,2,84.33,86.69333333333333,2,3,0,0,0,train
PED000000000012,FOR0018,ING0054,MIX DE FRUTAS VERMELHAS,0.93,42.03,2023-01-02,2023-01-04,entregue,emergencial,2023-01-02,Frutas Secas e Congeladas,KG,0.75,0.75,10.053619302949059,0.07460000000000001,0.0,0.7106,1.0,Atencao,0.032,0.034,0.034,0.034,0,0.0,9999,2,35.64,38.42666666666667,2,3,0,0,0,train
PED000000000013,FOR0003,ING0055,MIX DE FRUTAS VERMELHAS CONGELADAS,2.3,83.95,2023-01-02,2023-01-04,entregue,emergencial,2023-01-02,Frutas Secas e Congeladas,KG,0.25,0.25,8.647798742138363,0.028909090909090912,0.0,0.023454545454545457,0.0,OK,0.0,0.005454545454545455,0.005454545454545455,0.005454545454545455,0,0.0,9999,2,37.08,39.85333333333333,2,3,0,0,0,train
PED000000000014,FOR0003,ING0058,UVA PASSA BRANCA,3.0,123.74,2023-01-02,2023-01-04,entregue,emergencial,2023-01-02,Frutas Secas e Congeladas,KG,0.25,0.25,15.706806282722514,0.015916666666666666,0.0,0.017583333333333333,0.0,OK,0.0013333333333333333,0.003833333333333333,0.003833333333333333,0.003833333333333333,0,0.0,9999,2,41.65,43.56,2,3,0,0,0,train
PED000000000015,FOR0005,ING0064,FARELO DE AVEIA,2.0,29.4,2023-01-02,2023-01-06,entregue,emergencial,2023-01-02,"Grãos, Farinhas e Massas",KG,0.25,0.25,1.7856839177148491,0.14000238089164546,0.5,0.2200023808916455,1.0,Atencao,0.03333333333333333,0.023333333333333334,0.023333333333333334,0.023333333333333334,0,0.0,9999,4,12.85,13.51,4,3,0,0,0,train
PED000000000016,FOR0005,ING0065,FARINHA DE GRÃO DE BICO,2.0,31.66,2023-01-02,2023-01-07,entregue,emergencial,2023-01-02,"Grãos, Farinhas e Massas",KG,0.25,0.25,69.22886738732322,0.003611210314929672,0.0,0.0038889880927074497,0.0,OK,0.0008333333333333333,0.00041666666666666664,0.00041666666666666664,0.00041666666666666664,0,0.0,9999,4,16.93,18.176666666666666,4,3,0,0,0,train
PED000000000017,FOR0025,ING0067,FARINHA PANKO,1.83,40.77,2023-01-02,2023-01-06,entregue,emergencial,2023-01-02,"Grãos, Farinhas e Massas",KG,0.25,0.25,8.6536084234154,0.028889682519437382,0.0,0.032223015852770716,0.0,OK,0.006666666666666667,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0,0.0,9999,4,20.28,22.650000000000002,4,3,0,0,0,train
