year,month,saldo_medio,saldo_max,registros
2023,1,106.36127313590693,11250.0,7564
2023,2,109.22086797423887,11250.0,6832
2023,3,109.29287149656267,11250.0,7564
2023,4,111.41074316939891,11250.0,7320
2023,5,107.421807244844,11250.0,7564
2023,6,110.16001502732242,11250.0,7320
2023,7,110.92434426229508,11250.0,7564
2023,8,109.87359201480697,11250.0,7564
2023,9,112.73837021857923,11250.0,7320
2023,10,114.04378503437334,11250.0,7564
2023,11,108.80425956284154,11250.0,7320
2023,12,109.28867794817558,11250.0,7564
2024,1,110.75645425700687,11250.0,7564
2024,2,111.96061758055399,11250.0,7076
2024,3,113.44647408778424,11250.0,7564
2024,4,112.06140846994536,11250.0,7320
2024,5,110.46152432575357,11250.0,7564
2024,6,94.32297540983608,8016.0,7320
2024,7,90.00366737176097,8016.0,7564
2024,8,92.33302088841882,8016.0,7564
2024,9,92.72244672131148,8016.0,7320
2024,10,93.72531200423057,8016.0,7564
2024,11,92.12830327868853,8016.0,7320
2024,12,109.03978582760445,11250.0,7564
2025,1,112.93773664727658,11250.0,7564
2025,2,110.60974238875879,11250.0,6832
2025,3,111.75536753040718,11250.0,7564
2025,4,111.85535928961748,11250.0,7320
2025,5,104.71391856160761,8016.0,7564
2025,6,114.74310792349728,11250.0,7320
2025,7,103.56681385510312,8016.0,7564
2025,8,105.1262387625595,11250.0,7564
2025,9,107.0551980874317,11250.0,7320
2025,10,114.62264806980433,11250.0,7564
2025,11,109.61958469945355,11250.0,7320
2025,12,110.01236647276573,11250.0,7564
2026,1,103.97319539925965,8016.0,7564
2026,2,107.69634074941452,11250.0,6832
2026,3,109.01919487043891,11250.0,7564
2026,4,111.30799180327868,11250.0,7320
2026,5,107.6465681622088,11250.0,4636
